# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
5.560208 4.671293 0.32040 8.18630e-02 6.56027e-03 2.72196e-03 1.82838e-03 1.33635e-03 1.10737e-03 9.18377e-04
5.990773 4.580588000000004 0.32400 8.79932e-01 6.63779e-02 2.49765e-02 1.67203e-02 1.22168e-02 1.01231e-02 8.39539e-03
5.642317 5.898682999999998 0.32250 1.30993e-01 1.22838e-02 5.06885e-03 3.28798e-03 2.34617e-03 1.92554e-03 1.58731e-03
5.650491 5.903669999999997 0.32250 7.84611e-01 6.91653e-02 2.82604e-02 1.88540e-02 1.37370e-02 1.13711e-02 9.42462e-03
6.88114 7.3840430000000055 0.32650 5.28955e-02 4.50673e-03 1.86670e-03 1.25383e-03 9.16412e-04 7.59385e-04 6.29784e-04
6.883389 7.378750999999997 0.32650 9.50939e-01 8.25358e-02 3.36161e-02 2.25289e-02 1.64582e-02 1.36369e-02 1.13092e-02
6.894726000000001 7.396996000000002 0.32650 5.45963e-02 5.20676e-03 2.08831e-03 1.35331e-03 9.68936e-04 7.96824e-04 6.57809e-04
6.092004 4.735465999999996 0.32620 6.85989e-01 5.95349e-02 2.45768e-02 1.64743e-02 1.20310e-02 9.96702e-03 8.26492e-03
6.081786 4.735729999999997 0.32620 6.71645e-01 6.09580e-02 2.59514e-02 1.72293e-02 1.23701e-02 1.01308e-02 8.31115e-03
5.978604 4.843993000000005 0.32740 6.47939e-01 5.62226e-02 2.31269e-02 1.55257e-02 1.13470e-02 9.40262e-03 7.79791e-03
6.892493 6.9131839999999976 0.32740 1.92797e-01 1.34903e-02 5.57081e-03 3.74192e-03 2.73494e-03 2.26631e-03 1.87953e-03
4.54438 4.657497999999995 0.33020 9.99940e-02 8.49868e-03 3.38257e-03 2.26913e-03 1.65832e-03 1.37415e-03 1.13963e-03
6.228702 5.170340000000005 0.32830 1.71126e-01 1.47392e-02 6.07294e-03 4.07877e-03 2.98113e-03 2.47032e-03 2.04872e-03
6.604014 5.138882999999996 0.32900 9.41949e-02 8.18310e-03 3.34483e-03 2.24425e-03 1.64005e-03 1.35900e-03 1.12706e-03
6.309163 5.241767999999999 0.32880 6.26151e-01 6.02256e-02 2.34130e-02 1.52158e-02 1.09785e-02 9.06603e-03 7.50666e-03
6.294897 5.247795 0.32880 1.26948e-01 1.09613e-02 4.53893e-03 3.04807e-03 2.22773e-03 1.84600e-03 1.53095e-03
6.296727 5.057612000000001 0.32830 8.69465e-02 7.42637e-03 3.08368e-03 2.07135e-03 1.51394e-03 1.25453e-03 1.04042e-03
6.294245 5.031171000000004 0.32830 3.31261e-01 2.93161e-02 1.09121e-02 7.24440e-03 5.28250e-03 4.37558e-03 3.62830e-03
6.30461 5.055817999999994 0.32830 6.42800e-01 1.28332e-01 4.59741e-02 2.28620e-02 1.33604e-02 1.00861e-02 7.89399e-03
6.791249 7.198637000000002 0.32950 5.94562e-01 5.17135e-02 2.13140e-02 1.42817e-02 1.04292e-02 8.64011e-03 7.16474e-03
4.571179 6.228323000000004 0.32810 2.09759e-01 1.81638e-02 7.37164e-03 4.93569e-03 3.60442e-03 2.98624e-03 2.47639e-03
4.566433 6.223825000000005 0.32810 1.41050e-01 1.27214e-02 5.09946e-03 3.39162e-03 2.47253e-03 2.04787e-03 1.69807e-03
4.548962 6.259144999999996 0.32810 1.06128e-01 9.08885e-03 3.77082e-03 2.53290e-03 1.85128e-03 1.53407e-03 1.27225e-03
4.572742 6.248414999999998 0.32810 5.51717e-02 4.71998e-03 1.95924e-03 1.31605e-03 9.61892e-04 7.97072e-04 6.61039e-04
5.714186 6.909522999999999 0.33040 1.92399e-01 1.63697e-02 6.78953e-03 4.56057e-03 3.33329e-03 2.76213e-03 2.29073e-03
5.714465 6.930692000000002 0.33040 2.27426e-01 1.94559e-02 8.04177e-03 5.40078e-03 3.94731e-03 3.27094e-03 2.71270e-03
5.714726 6.911574000000005 0.33040 3.31618e-01 2.81553e-02 1.16734e-02 7.84116e-03 5.73105e-03 4.74904e-03 3.93854e-03
4.579682 4.921168 0.33060 5.65442e-01 4.86367e-02 2.01889e-02 1.35610e-02 9.91165e-03 8.21329e-03 6.81156e-03
4.587454 4.944435999999994 0.33060 8.98563e-02 7.59640e-03 2.99462e-03 2.00248e-03 1.46237e-03 1.21162e-03 1.00479e-03
5.809571 6.878749999999998 0.32990 1.06410e-01 9.15496e-03 3.80112e-03 2.55326e-03 1.86616e-03 1.54639e-03 1.28248e-03
5.663586 7.115030999999998 0.33250 1.84159e-01 1.55553e-02 6.43345e-03 4.32128e-03 3.15839e-03 2.61720e-03 2.17053e-03
