# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
24.637699 7.924952000000005 0.22190 1.02096e+00 9.50922e-02 4.35321e-02 2.97250e-02 2.14133e-02 1.73947e-02 1.40595e-02
24.646162 7.928337999999996 0.22190 5.90651e-01 5.07077e-02 2.09996e-02 1.41044e-02 1.03088e-02 8.54235e-03 7.08446e-03
25.402801 4.097764000000001 0.22520 5.02517e-01 4.43901e-02 1.77575e-02 1.19113e-02 8.70494e-03 7.21331e-03 5.98223e-03
25.438044 4.136939000000005 0.22520 1.44341e-01 1.25601e-02 5.14282e-03 3.44825e-03 2.51935e-03 2.08753e-03 1.73122e-03
25.415635 4.158576000000001 0.22520 8.05645e+00 7.06932e-01 2.89142e-01 1.93427e-01 1.41209e-01 1.16984e-01 9.70092e-02
24.649395 5.272260999999999 0.22400 1.25133e-01 1.09929e-02 4.54663e-03 3.03382e-03 2.20689e-03 1.82483e-03 1.51108e-03
25.489131 4.124979999999995 0.22900 1.26756e-01 1.04573e-02 4.33690e-03 2.91315e-03 2.12920e-03 1.76436e-03 1.46325e-03
25.518717 4.1062890000000065 0.22900 8.19643e-01 6.81148e-02 2.81177e-02 1.88840e-02 1.38019e-02 1.14370e-02 9.48505e-03
25.832271 4.507246 0.23020 2.27763e+00 2.07290e-01 8.12844e-02 5.38554e-02 3.91939e-02 3.24443e-02 2.68946e-02
24.484408 7.976783000000002 0.23860 1.06220e-01 9.54153e-03 3.78800e-03 2.53299e-03 1.85016e-03 1.53302e-03 1.27137e-03
24.478299 7.999117000000005 0.23860 2.93289e-01 2.50332e-02 1.03297e-02 6.93709e-03 5.07017e-03 4.20139e-03 3.48435e-03
26.776422 6.650729000000001 0.24350 2.49883e-01 2.17141e-02 8.96154e-03 6.00512e-03 4.38482e-03 3.63243e-03 3.01205e-03
26.759676 6.6685019999999975 0.24350 7.73253e-01 6.71465e-02 2.77795e-02 1.86110e-02 1.35832e-02 1.12498e-02 9.32681e-03
26.760725 6.666972999999995 0.24350 1.06595e-01 9.35462e-03 3.77687e-03 2.52398e-03 1.84205e-03 1.52589e-03 1.26528e-03
24.603022 4.686591999999998 0.24380 6.53003e-01 5.70621e-02 2.32075e-02 1.55596e-02 1.13691e-02 9.42070e-03 7.81282e-03
24.817298 4.045602999999995 0.24430 1.26323e+00 1.57150e-01 8.22598e-02 5.50922e-02 3.75669e-02 2.91218e-02 2.23112e-02
26.330694 6.570532000000003 0.24580 5.73612e+00 4.93047e-01 2.04558e-01 1.37401e-01 1.00425e-01 8.32175e-02 6.90151e-02
26.347388 6.573950999999997 0.24580 7.33798e-01 6.06459e-02 2.50316e-02 1.68137e-02 1.22890e-02 1.01833e-02 8.44536e-03
27.723658 7.817032000000004 0.24520 4.74429e-01 4.04099e-02 1.67689e-02 1.12639e-02 8.23268e-03 6.82202e-03 5.65773e-03
