,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
2570,6.529489,5.440649000000001,1.318,0.0811639,0.00693663,0.00288036,0.00193478,0.00141412,0.00117181,0.000971821
2572,5.48864,7.154962000000003,1.33,0.0746592,0.00564403,0.00233626,0.00156927,0.00114697,0.000950438,0.00078823
2573,6.151391000000001,5.247107999999994,1.323,0.169444,0.014042,0.0058259,0.00391331,0.00286022,0.00237012,0.00196562
2574,6.391505,5.590877000000003,1.326,0.22016,0.0171202,0.00706885,0.00474784,0.00347015,0.00287554,0.00238478
2575,6.393221,5.592821000000005,1.326,1.16944,0.0998923,0.0414791,0.0278621,0.0203642,0.0168748,0.0139949
2576,6.579231,6.3551899999999995,1.328,0.0841942,0.00712089,0.00295228,0.00198305,0.0014494,0.00120104,0.000996066
2581,6.674809,4.988262000000006,1.337,0.130689,0.00994191,0.00412546,0.00277113,0.0020254,0.00167835,0.00139191
2582,6.673148,4.998388000000007,1.337,0.0555485,0.00475708,0.00197082,0.00132381,0.000967567,0.000801775,0.000664939
2583,6.670412,4.990375000000002,1.337,2.93525,0.237857,0.0987677,0.0663437,0.0484902,0.0401814,0.0333238
2584,6.671558000000001,4.986093999999995,1.337,0.0858959,0.00740896,0.00306564,0.00205886,0.00150478,0.00124693,0.00103412
2585,6.84567,6.914865000000003,1.331,0.0612579,0.00524486,0.00217424,0.00146043,0.00106742,0.000884519,0.000733561
2588,5.37021,7.176816000000004,1.336,0.0554906,0.00477611,0.00198323,0.00133216,0.00097367,0.000806833,0.000669134
2589,5.374947,7.178039000000005,1.336,0.092002,0.00785637,0.00326219,0.00219126,0.00160158,0.00132715,0.00110065
2590,5.366721,7.180610999999997,1.336,0.0793443,0.00670106,0.00277971,0.00186716,0.0013647,0.00113086,0.000937857
2592,7.025392000000001,4.986903000000001,1.332,31.2003,2.67799,1.11072,0.746067,0.545295,0.451859,0.374742
2596,6.713523,4.892546999999996,1.336,0.689204,0.0584122,0.024214,0.0162648,0.0118878,0.00985087,0.00816966
2597,6.344594,6.659414000000004,1.337,1.7287,0.169963,0.0645399,0.0418101,0.0301278,0.0248661,0.0205816
2599,6.727796,5.936018999999996,1.337,0.482333,0.0427976,0.0172961,0.0115689,0.00844865,0.0070001,0.0058052
2600,6.733813,5.935365999999997,1.337,0.0529958,0.00458041,0.00189393,0.00127128,0.000928993,0.00076978,0.000638394
2601,6.739718000000001,5.940497000000005,1.337,0.138403,0.0118978,0.00493938,0.00331785,0.00242499,0.00200947,0.00166652
2602,5.758491,6.548550999999995,1.336,1.08777,0.0934679,0.0388119,0.0260705,0.0190548,0.0157898,0.013095
2603,5.765592,6.555384999999995,1.336,0.0594492,0.00991116,0.00523181,0.00309189,0.00185176,0.00133482,0.000967818
2604,5.767735,6.551538,1.336,0.73132,0.0628138,0.0260759,0.0175155,0.012802,0.0106084,0.00879789
2608,5.368261,5.065170000000001,1.347,0.0575091,0.00483262,0.00199332,0.00133865,0.000978391,0.000810743,0.000672376
2609,5.373121,5.053938000000003,1.347,0.144415,0.0121174,0.00503091,0.00337934,0.00246994,0.00204671,0.00169741
2610,5.36468,5.063783,1.347,0.0526949,0.00452441,0.00187829,0.00126167,0.000922145,0.000764136,0.000633724
2611,5.039687,7.012306999999996,1.346,0.227178,0.018555,0.00770435,0.00517512,0.00378246,0.00313434,0.00259941
2621,6.364599,5.647651000000004,1.352,0.0924785,0.00795961,0.00326452,0.00219196,0.00160203,0.00132752,0.00110096
2622,5.013376,5.964005999999999,1.353,0.0636715,0.00548328,0.00227671,0.0015293,0.00111775,0.000926227,0.000768151
2623,5.061123,7.036842000000001,1.351,0.0528615,0.00440119,0.00182221,0.001224,0.000894611,0.00074132,0.000614801
2624,5.049181,7.042444999999994,1.351,0.532887,0.0420321,0.0170234,0.0114269,0.00835129,0.00692026,0.00573919
2625,6.487705,6.019124999999995,1.351,0.0790013,0.00681127,0.00282375,0.00189663,0.00138622,0.00114869,0.00095265
2626,6.471704,6.0201980000000015,1.351,0.0671446,0.00568556,0.00234532,0.00157517,0.00115127,0.000954001,0.000791185
2627,7.114553,6.262307000000005,1.356,0.964599,0.0821216,0.0337189,0.0226339,0.0165412,0.0137066,0.0113673
2630,6.141693,7.153463000000004,1.354,0.417406,0.0336635,0.0139486,0.00936938,0.00684802,0.00567461,0.00470615
2642,5.301907,5.7937739999999955,1.356,0.0737059,0.00623334,0.00258391,0.00173561,0.00126855,0.00105118,0.000871782
